C. Kenni, Crawd
Chou, Enshin
Chou, Tenshin
Chou, Shiryuu
Chou, Sei
Chou, Chin Chin
Chou, Keihou
Chou, Wanzhen
Chou'un, Shiryuu
Chougasaki, Gagamaru
Chouhi, Ekitoku
Choujabaru, Tokemichi
Chouji, Masaharu
Chouko, Shungai
Chouno, Koushaku
Chouno, Jirou
Chouno, Shishaku
Chouno, Shijimi
Chouno, Ami
Chouno, Ageha
Chouno, Seseri
Chouno, Amu
Chouno, Uryoku
Chouno, Hikari
Chouno, Maika
Chouno, Izumi
Chousokabe, Motochika
Chousokabe, Motochika
Chousokabe, Motochika
Chousokabe, Aya
Chow, Yu Liang
Choyo, Shoukaku
Chris, Kaname
Chrishunds, Charles
Christ, Jesus
Christ, Leonhardt von
Christ, Jesus
Christ, Jesus
Christ, Jesus
Christ, Jesus
Christensen, Connie
Christian, Casper
Christian, Arthur
Christiansen, Doc
Christie, Quartz
Christie, Agatha
Christie Sarah, Tsukiko
Christin, Adol
Christine de Colde, Charlotte
Christobald, Carl
Christoph, Mia
Christopher, Chris
Christopher, Rosette
Christopher, Joshua
Christopher, Allin
Christopher, Yana
Christy, Labilia
Chritos, Mr.
Chroma, Arkit
Chronicle, Chloe
Chrosite, Rhodo
Chrysalis, Lithos
Chrysant, Yukino
Chrysaor, Krishna
Chrysler, Jason
Chu, Xu
Chu , Shui
Chu, CC
Chu, Yuan
Chu, Xi
Chu, Huanwen
Chuan, Rolland
Chuckman, Hans
Chuhlhourne, Charlotte
Chulanont, Phichit
Chuma, Ken
Chuma, Ako
Chun, Yoo
Chun, Bi-Rak
Chun, Bok-Hyung
Chun, Lan
Chun, Yohan
Chun-Moo, Kyeom
Chunyu, Xia 
Churack, Ririela
Churack, Noelia
Church, Farlan
Churchill, Winston
Churchill, Winston
Chusonji, Eri
Chuu, Hyoue
Chuu Kai, Chee
Chuubou, Sonken
Chuubou, Sonken
Chuubou, Sonken
Chuubu, Tsurugi
Chuuei, Toutaku
Chuugoku, Usagi
Chuujou, Shizuo
Chuujou, Tarou
Chuujou, Tsukasa
Chuujou, Shiina
Chuujou, Genichirou
Chuujou, Marika
Chuukou, Kyocho
Chuuma, Tetsuji
Chuuma, Suzu
Chuuou, Ataru
Chuusonji, Noriko
Chuuta, Chuusuke
Chuutoku, Tei'iku
Chuuzenji, Akihiko
Chuuzenji, Atsuko
Chuuzenji, Chizuko
Chuuzenji, Ayano
Chuwatana, Bonchai
Chuwatana, Ponchai
Chvojka, Yuri
Cialdini, Celestino
Ciate, Selestat
Ciel Mais, Greyworth
Cifer, Ulquiorra
Cigar, Gil T.
Cineau, Lupe
Cinq, Bellemer
Cipher, Scarlett
Circy, Shannon
Circy, Miranda
Cisco, Jack
Citrulline, Lotte
City Slicker, Prisewell
Cixi, Empress Dowager
Clabery, Elizabeth
Clackey, Ray
Claes, Katarina
Claes, Keith
Claes, Milldiana
Claes, Luigi
Clafoutis, Jaune
Claire, Melissa 
Claire, Celia
Clan, Marker
Clanclan, Aisha
Clancy, Kanuka
Clapice, Robert
Clarence
Clarence, Tio
Clark, Sylvain
Clark, Trant
Clark, Irel
Clark, Mint
Clark, Aoi
Clark, Seis
Clark, Ron
Clark, Hakase
Clark, Raymond
Clark, Keira
Claude, Noin
Claude, Alan
Claude, Anton
Claude, Linus
Claude, Issac
Claude, Ash
Claudel, Rosalie
Claudel, Claude
Claudel, Oscar
Claudel, Jean
Claudia, Ergi
Claudius, Charlone
Claudius Marcellus, Marcus
Claudius Nero, Gaius
Claus, Santa
Claus, Santa
Claus, Page
Claussell, Fie 
Clavier, Lene
Clavius, Karen
Claw, Exoda Cero
Claw, Methone
Clay, Adrian
Clayborn, Jessica
Claymore, Rail
Claythorne, Kay
Clayton, Cecil
Claytor, Henri
Clément, Anna
Clearrail, Souffle
Cleeas, Jim
Cleese, Cliff
Clemens, Burchell
Clement, Julian
Clemente, Laville
Clemente, Vanno
Clementis, Mia
Clerici, Silvio
Clesy, Yuan
Cleveland, Alice
Cleythula, Belfort
Cleythula, Hamilcar
Cleythula, Joldmeden
Cleythula, Judas
Cleythula, Kuzar
Cleythula, Lilliankil
Cleythula, Marfata
Cleythula, Samilius
Cleythula, Casmella
Clief, Van
Clief, Douglas
Cliff, Linda
Cliff, Boris
Cliff Fortran, Clay
Clifford, Colin
Clifford, John
Clifford, Bianca
Clio, Hyakinthos
Clive, Gildarts
Clive, Hollier
Clive, David
Clochette, Miya
Clock, Zelman
Closer, Shunpei
Closer, Alsyd
Clostermann, Perrine H.
Cloud, Bit
Cloud, White
Cloud, Demos
Cloud, Star
Clouse, Alphonse
Clouseau, Belfangan
Clover, Carl
Clover, Relius
Clover, Trey
Clover 17th, Casa
Clow, Spinner
Clown, Caesar
Club Captain, Basketball 
Clyne, Lacus
Clyne, Siegel
Cm Sacl, Toola
Cm Sacl, Turornu
Co Aldo, Grey
Co Igloo, Norma
Co Lada, Piña
Co Palesti, Bozes
Coatl, Roa
Cob, Kumo
Cobain, Kurt
Coban, Stella
Cobb, Tyrus Raymond
Cobblepot, Oswald
Cobblepot, Jun
Coborlwitz, Adon
Cochran, Mary
Cocker, Rolley
Cocker, Palabra
Cocker, Dalia
Cocker, Pita
Cocker, Lilia
Cocomine, Cocona
Cocotte, Chacoly
Cocteau, Gilbert
Codante, Aisha
Code, Dominante
Codrington, Waletta
Coega, Kid
Coega, Iraak
Coen, Clyde
Coendera, Jogg
Coendera, Kaldus
Coffin, Tigerlily
Cogez, Alois
Cogez, Baas
Cognitive computing system, Oopa
Coil, Mike
Cojal, Horacio
