Bishop, Karen
Bismarch, Kanna
Bismarck, Lou
Bison, Larry
Bison, Mike
Bison, Richard
Bisotsus, Rogul
Bistail, Caius Lao
Bitna, Lee
Bitou, Daisukenojo
Bitou, Nozomi
Bitou, Hideyuki
Bitou, Tatsuya
Bitou, Makio
Bitou, Brad
Bitou, Marie
Bitou, Yoshiki
Bitou
Bitou, Honami
Bittenfeld, Fritz Joseph
Bitter, Neuen
Bittner, Heinz
Bivorio Basskreigh, Alice
Biwa, Juuzou
Biwajima, Mayu
Biwakouji, Otoha
Biyoshino, Mario
Bizee, Winkeny
Bizen, Sayoko
Bizen, Ginna
Bizen, Akimitsu
Bjelke, Hans
Bjorn, Kyle
Black, Jet
Black, George
Black, Kilian
Black, Edwin
Black, James
Black, Keith
Black, Alexandria
Black, Robert
Black, Bazzard
Black, George
Black, Sidney
Black, Ronan
Black, Riona
Black, Reily 
Black, Magnus
Black, Emily
Blackball, Mallybath
Blackbell, Becky
Blackman, Alan
Blackmore, Othello
Blackmore, Dan
Blackstone, Louis
Blackstone, Brad
Blackwell, Louis
Blackwell, Mr.
Blade, Adam
Blade, John
Bladearts, Shion
Bladefield, Nanami Knight
Bladefield, Hakua Berserker
Blades, John
Blain, Zard
Blaire, Muriel
Blake, Ash
Blake, Linda
Blake, Nathaniel
Blake, Robert
Blake, Adam
Blakin, Henry
Blan de Windbloom, Mashiro
Blan de Windbloom, Mashiro
Blanc, Mikhail
Blanc, Angela
Blanc, Elena
Blanc, Mont
Blanc, Fleur
Blanc, Christophe
Blanc, Mont
Blanc, Mont
Blanc, Ressel
Blanchard, Viviane
Blanchard, Laetitia
Blanche, Alice
Blanche, Camille
Blanche, Kaya
Blanche, Edgar C.
Blanchefort, Ermalit de
Blanchett, Esther
Blancheur, Koyuki
Blancmanche, Mint
Blanctorche, Elisabeth
Blandelli, Erica
Blangé, Marianne
Blanket, Arrester
Blankett, Chelsea
Blanton, Emma
Blau Mismed, Jamka
Blaumohn, Burks
Blavatsky, Stella
Blendy, Sherry
Blendy, Chelia
Blerster, Krasis
Bles, Selvaria
Bleu, Sedona
Bleumer, Glycine
Blick, Laine
Blight, Toshio
Blight, Luca
Blikrhod, Theodore
Blitz, Zorin
Blitz, Lion
Blitz, Leon
Blitz, Quant
Blitz Lebrett, Ragnar
Block, James
Blomdahl, Olver
Blondin, Abel
Blondy Von Worth, Words
Blonsky, Emil
Blood, Staz Charlie
Blood, Braz D.
Blood, Liz T.
Blood, Richardz
Blood, Dan
Blood, Ray
Blood, Cain
Blood, James
Blood, Ira
Bloodfallen, Shalltear
Bloodlily, Sara
Bloodman, Fixx
Bloodriver, Akasha
Bloodstone, Fino
Bloom, Catherine
Bloom, Nicholas
Bloom, Cameron
Bloom, Luka
Bloom, Jack
Bloomfield, Bunny
Bloommerchen, Lily
Blossom, Touka
Blouse, Sasha
Blouse, Artur
Blue, Airs
Blue, Captain
Blue, Melan
Blue, Keith
Blue, Jet
Blue, Gilly
Blue, Heim
Blue, Lagoona
Blue, Benedict
Bluecarno, Marone
Bluefield, Stephen
Bluegarden, Rebecca
Bluemeir Polish, Mika
Bluenote, Nova
Bluer, Lawrence
Blueriver, Kane
Blues, I.C.
Blueshake, Olay
Blueshake, Lindy
Bluespirit, Aselia
Bluestein, Suzanna
Bluesummers, Legato
Bluett, Mrs.
Bluewolf, Elmore
Blume
Blumhardt, Rainer
Blunche , Tika
Blunt, Cleo
Blutarch, Buran
Blythe, Gilbert
Bo, Anzi
Bo, Ling
Bo, Dai
Boötes, Bayer
Boa, Hancock
Boa, Sandersonia
Boa, Marigold
Bobata, Kazuma
Bobol, Kuu
Boddole Zer, Golg
Bodewig, Laura
Bodou, Kaname
Bogan, Donny
Bogard, Terry
Bogard, Andy
Bogard, Ganz
Bogard, Jeff
Bogdanovich
Bohdan, Chaika
Bohl, Billy
Boil, Major
Boiled, Dimsdale
Boismortier, Rill
Bojin, Yuki
Bojin, Mother
Bokuseiinmonzeninari, Sakura
Bokuto, Koutarou
Bokuto, Masa
Bokuto, Reo
Boland, Fleur
Bold, Keziah
Bold, Vincent
Bold
Bold, Belinda
Bold, Anthony
Boldoron, King
Bolenan, Yusaratoya
Bollinger, Michel
Bolneze, Pierrot
Bolo, T.
Bolt-on, Taisa
Boltik, Nikolas
Bolton, Troy
Bombardier, Karen
Bomber, White
Bomber, Halem
Bomber, Pretty
Bomber, Thunder
Bomber, Mermaid
Bomber, Flame
Bomber, Grand
Bomber, Ninja
Bomber, Silver
Bomber, Nikuman
Bomber, Koma
Bomber, Kamome
Bomber, Bear
Bomber, Bat
Bomber, Dolphin
Bomber, Dark Force
Bominable, Abbey
Bomont, Herman
Bonaboona, Tina
Bonacieux, Constance
Bonaparta, Franz
Bonaparte, Napoleon
Bonaparte, Charles
Bonaparte, Pierre 
Bonaparte, Napoleon
Bonaparte, Napoleon
Bonaparte XI, Napoleon
Bond, Professor
Bond, Zamasu
Bond, Verlaine
Bonda, Natsunosuke
Bondo, Kojirou
Bone, Trom
Bones, Daz
Bones, Billy
Bong-Ok, Baek
Bonnaro, Rocco
Bonnaro, Stella
Bonnefoy, Eleonora
Bonner Jr., Marlo
Boo, Shishkeba 
Boogie, Oogie
Bookwatt, Relia
Boom Boom, Andre
Boom Boom, Benjamin
Boom Boom, L. A.
Booms, Nez
Boon, Joshua
Boone, Asuham
Boone, Karin
Boone, Flanagan
Boone, Patrick
Boorda, Jerome
Boot, Jerry
Booth, Michael
Booth, Lissen
Booth, Asger
Booth, Emil
Bootsvorz, Edelhi
Boozeman, Betty
Bor, Noélle
Boran, Melheis
Borannam, Elexis
Borboleta, Barbosa
Borchard, Eirote
Borcz, Garcia
Bordeaux, Franklin
Borden, Tom
Bore, Mehitak
Borg, Maurits von
Borges, Rocko
Borgia, Cesare
Borgia, Cesare
Borgia, Lucrezia
Borgia, Galtan
Borgia IV, Lucrezia
Borgnine, Bull
Borgnine, Ricarla
Borgnine, Ethel
Boric, Skin
Borjarno, Lily
Born, Daniel
Boronial, Esperanza C.
Boroswick, Veronica
Borough, Serge
Borrinea, Liam
Borris, Ian
Borrows, Eddie
Boruenan, Ialize
Borzak, Haruri
Bosatsu, Kanzeon
Bosatsu, Monju
Bosatsu, Fugen
Bosatsu, Jizou
Bosatsu, Miroku
Bosatsu, Kannon
Bosatsu, Seishi
Bosatsu, Kokuuzou
Boscht, Mora
Bosconovitch, Geppetto
Bosconovitch, Alisa
Boshiet, Noel
Bosporus, Ignat
Boss, Last
Bossi, Mario
Bossi, Belvero
Bostok, Stefany
Bosyeltnov, Cruzkowa
Botan, Yuzuru
Botan, Tsuyuhiko
Botasky
Bott, Marco
Bottomslash, Backyard
Bou, Tsukihiko
Bouda
Bouda, Rena
Bougainvillea, Gilbert
Bougainvillea, Dietfried
Bough, Barbas
Bouhatei, Tetora
Bouida, Haruto
Bouida, Mikoto
Boulange, Agnes
Bouquet, Mireille
Bourbon del Monte, Giancarlo
Bourget, Annemarie
Bourne, Chondrite
