G., Kenny
Gram, Ana
Gram, Eve
Gramaldi, Sophie
Grambull, Wilm
Grambull, Riglette
Gramstahl, Kaguraba Raihou
Granatum, Astolfo
Granbell, Shiki
Granbird, Kyoudou
Grand, Basque
Grand, Péter
Grand, Théo
Grand, Mia
Grand Maniel Chocola Julliangeli, Marianne
Grand Maniel Chocola Julliangeli, Catherine
Grand Maniel Chocola Julliangeli, Angelina
Grand Marnier, Adélaïde
Grandier, André
Grandiera, Yunisfinia Meredith le Ella
Grandol, Freya
Grandria, Liliana
Grandria, Milianne 
Grandwood, Misa
Grane, Raymond
Grane, Emma
Grane, Synthia
Grangaitz, Zest
Granger, Matoaka
Grangil, Dred
Grangrey, Keith
Granhiert, Elsa
Grani, Sigmund
Granitz, Enri
Granitz, Sunda
Granmarie, Bidou
Granscenic, Vice
Granscenic, Laguna
Grant, Joshua
Grant, Michael
Grant, Wesley
Grant, Matthew
Grant, Brian
Grant, George
Grant, Edward
Grant, Eugene
Grantaine, Anne-Sophie
Grants, Tear
Grants, Van
Grantz, Ilforte
Grantz, Szayel Aporro
Grantz, Warren
Grantz, Jill
Grantz, Ryoh
Granva, Grandis
Granville, Cedric
Granvorka, Kaiser
Granzchesta, Aika S.
Granzchesta, Hime
Graphico, Naoya
Graphight, Nu Suoad
Graphimore, Kult
Graphite, Fate
Grar Dewgason, Shizan
Grasshopper, Gil
Grassvalley, Kanonno
Gratin, Kamada
Grator, Hawthorn
Grauer, Innumael
Grav, Gus
Grave, Ash
Grave, Nova
Grave, Jet
Gray, Abraham
Gray, Cliff
Gray, R
Gray, Nana
Gray, Abraham
Gray, Damian
Gray, Alina
Graycrack, Grick
Grayson, Richard
Graywords, Zelgadis
Grazer, Ralph
Grazer, Cecilia
Grazer, Rupert
Great Sword Tenjinsoseiken, Titan
Grecni, Leila
Greco, Mike
Greco, Carlo
Greed, Alein
Green, Eon
Green, Peas
Green, Pistachio
Green, Guinevere
Green, Jonathan
Green, Keith
Green, Douglas
Green, Folk
Green, Abe
Green, Hyram B
Greendina, Nakeem
Greenhill, Frederica
Greenhill, Herman
Greenhill, Dwight
Greenhough-Smith, Elizabeth
Greenspirit, Espelia
Gregoire II, Johnny
Gregoire III, Johnny
Gregor, Berthold
Gregor, Elen
Gregoretti, Luchino
Gregory, Kathleen
Gregory, Makiko
Gregory, Catherine
Gregory, Arnie
Gregory, Luna Francois
Gregory, George L. 
Gregson, Graham
Gregson
Greif, Gry
Greig, Gaien
Grekov, Vladislav
Gremory, Rias
Gremory, Zeoticus
Gremory, Millicas
Gremory, Venelana
Grenavan, Ayerton
Grendel, Kurt
Grene, Mariah
Greninos, Yumeru
Grennorth, Natalia
Grenore, Edward
Gresco
Grese, Beatrice
Gretchen, Cless
Gretlet, Ernest
Grey, Jane
Grey, Lowell
Grey, Jennifer
Grey, Charles
Grey, Jean
Grey, Gabriel
Grey, Bebarnum
Grey, Mulara
Grey, Jacob
Greyfell, Carne
Greyrat, Rudeus
Greyrat, Eris Boreas
Greyrat, Paul
Greyrat, Zenith
Greyrat, Lilya
Greyrat, Norn
Greyrat, Ars
Greyrat, Lara
Greyrat, Aisha
Greyrat, Lucy
Greyrat, Sauros Boreas
Greyrat, Philip Boreas
Greyrat, Hilda Boreas
Greyrat, Luke Notos
Greyrat, Sieghardt Saladin
Grice, Falco
Grice, Colt
Grice, Heath
Griesela, Gegenhuber
Griff, Gaddis
Griffe, Demar
Griffen, Arthur
Griffey, Tom
Griffey, Terry
Griffith, James
Griffon, Minos
Griffon, Fuala
Griffon, Vermeer
Griffon, Biscuit
Griffon, Cookie
Griffon, Cracker
Grigorovich, Alexandrov
Grilaroc, Elrasla
Grill, Peter
Grillpalzer, Alfred
Grimaldi, Brigitta
Grimdenbaum, Toni
Grimm, Balthazar
Grimm, Otogi
Grimmer, Wolfgang
Grimmwood, George
Grimoire, Cliff
Grimoire, Clive
Grimoire, Harry
Grims, Archibald
Grimwood, Chelsea
Grimzrard, Oswald
Gris, Forte 
Grise, Lars
Grisel, Father
Grisham, J.D.
Griswold, Jack
Grit, Ace
Grits, Joe
Groener, Hermann
Groff, Glenn
Groh, Bacchus
Groman
Groph, Ganbanzel
Gropius, Gunther
Gros, Petit
Grosky, Clamp
Gross, Fia
Grossum, Hanford
Grouse, Hazel
Gruber
Grumman, Solle
Grumman, Colland 
Grummans, Aria
Grusman, Graien
Gryn, Grathan
Gu, Yong-Shen
Gu, Jie
Gu, He
Gu, La
Gu, Yuena
Gu, Zan
Guan, Yu
Guan, Yu
