R. Hill, Sugar
RO, Axl
Ro, Sha
Ro U, Kaien
Ro U, Teru
Roa Valdamjong, Michael
Roadagain, Ringo
Roas, Su
Rob, Lucci
Roba, Esper
Robahata, Motomu
Robane, Felix
Robbins, Ken
Robbins, Christine
Robbins, Mary
Robbins, Lucy
Robbins, Sheryl
Robbins, Ben
Robert, Harry
Roberto, Vile
Roberts, Angie
Roberts, Corkey
Roberts, Priscilla
Roberts, Wanda
Robertson, Virginia
Roberuttey, Justin
Robespierre, Maximilien
Robespierre, Maximilien
Robin, Bars
Robinson, J. J.
Robinson, Ernst
Robinson, Flone
Robinson, Franz
Robinson, Anna
Robinson, Jack
Robinson, Mokichi
Robinson, Elena
Robinson, Anita
Robinson, Rob
Robinson, Luca
Robinson, Tim
Robinson Jr., Adam
Robo, Gouki 
Robotnik, Ivo
Robotnik, Gerald
Robotnik, Maria
Rocca, Marco
Rochasse, Armand
Rochasse, Michelle
Rochefort, Anna
Rochefort, Belze
Rochefort, Florian
Rochefort, Katherine
Rochelle, Julie
Rochina, Jean Paul
Rock, Briefers
Rockbell, Winry
Rockbell, Pinako
Rockbell, Den
Rockbruise, Leinas
Rockefeller, Austin
Rockefeller, Eve
Rockford, David
Rockin, Robin
Rocko, Warren
Rockswell, Director
Rockwell, Grimson
Rockwell, Barcy
Rockwell, Jody
Rockwell
Rockwell, Adam
Rockwood, Sleuth
Rod, Drill
Rod, James G.
Rodant, Mashas
Roddle, Tortov
Rodelia, Septieme
Roden, Nicolas
Roden, Daz
Roderick, Liz
Rodgraim, Kyrgios
Rodman, Pete
Rodock, Lucia
Rodokin, Garon
Rodokin, Leno
Rodokin, Pano
Rodrigo, Pedro
Rodriguez, Shinsuke
Rodriguez, Jose
Rodriguez, Jose
Rodriguez, Chico
Rodriguez, Gina
Rodriguez, Jose
Rodriguez, Bertuo
Rodriguez, Jose
Rodriguez, Nene
Rodriguez, Donald
Rodyt/Pyordoba, Biancasta
Roe, Magical
Rofaasu, Raku
Rofocale, Lucifel
Rofure, Bardo
Rogelu, Garo
Rogelu, Ruga
Roger, Jupiter
Roger, Jean-Michel
Rogers, Cynthia B.
Rogers, Steve
Rogi, Uichi
Rogi, Reika
Rogiri, Bangai
Rogovski, Budomir
Rogue, Nina
Rogue, Zafar
Rohakobe, Midori
Rohan, Kouda
Roji, Shizuru
Rojinski, Portia
Rokkaku, Kirie
Rokkaku, Joutei
Rokkaku, Shiori
Rokkouji, Tsukasa
Rokudai, Youko
Rokudo, Meiko
Rokudo, Natsumi
Rokudou, Mukuro
Rokudou, Rinne
Rokudou, Sabato
Rokudou, Momiji
Rokudou, Sera
Rokudou, Grandfather
Rokudou, Tsujiemon
Rokudou, Otome
Rokudou, Rin
Rokudou, Tousuke
Rokugen, Ayumu
Rokugiya, Riu
Rokugo, Nanami
Rokugou
Rokugou, Saori
Rokuhara, Shion
Rokuhara, Mugio
Rokuhara, Satoru
Rokuhara, Kazuma
Rokujo, Sakura
Rokujo, Hiroki
Rokujou, Miyuki
Rokujou, Shouko
Rokujou, Miharu
Rokujou, Miyaho
Rokujou, Minori
Rokujou, Chikage
Rokujou, Miya
Rokujou, Ayaka
Rokujou, Kiichirou
Rokujou, Iroha
Rokujou, Mitsuhiko
Rokujou, Ichiko
Rokumasu, Kouji
Rokumatsuri, Minazuki
Rokumeikan, Toki
Rokumeikan, Ayako
Rokunonin, Haruou
Rokuonji, Nagi
Rokuonji, Kaze
Rokuonji, Otome
Rokuonji, Kaoruko
Rokuonji, Tsurayuki
Rokuouin, Chikage
Rokuriki, Daisen
Rokuro, Bundo
Rokuroba, Tamayo
Rokusaki, Coney
Rokusho, Aoi
Rokuta, Rika
Rokutanda, Tsutomu
Rokuten, Maya
Rokuya, Mitomo
Rokuya, Nagi
Roland, Adele
Roland, Eusis
Roland, Harry
Roland, Christopher William Orson Andrew
Roland, Jack
Roland, Aberdeen
Roland, Ganessa
Roland, Gregory
Roland, Isaac
Roland, Anna
Roland, Arthur
Roland, William
Roland, Linda
Roland Wellswill, Christopher
Rolando, Leia
Rollini, Michele
Rollins, Risa
Rollins Tachibana, Rio
Romée, Isabelle
Roma, Takeyasu
Roma Seiran, Yuna
Roman, Card
Romanée-Conti, Petelgeuse
Romanee, Dimitri
Romanoff, Linden de
Romanova, Nene
Romanova, Anastasia Nikolaevna
Romanova, Natasha
Romanow, Aleksiej
Romariel, Leonora
Rombart, Ansel
Romberg, Klaus
Romfellow, Ford
Romio, Kasuga
Rommel, Erwin
Rommel, Erwin
Rommel, Desert
Romsky, Francesk
Ron, Rockley
Ron, Pao
Ron, Lee
Ron, Wu
Ronah, Carozzo
Ronah, Meitzer
Ronah, Dorel
Ronah, Nadia
Ronaldo, Cristiano
Ronary, Cath
Rondart, Kyle
Rondo, Claire
Rondo, Tooi
Rondo, Mint
Rondo, Pedro
Rondohoon, Zatoh
Roneejo, Mac
Rong, Gu
Rong, Bai
Ronin, Shargo
Ronny, Gwyn
Ronoue, Genji
Ronove, Lomiere
Ronstadt, Vera
Rook, Belzen
Rook, Brandah
Rooney, Ben
Roos, Nanto
Roosevelt, Henry
Roosevelt, Franklin Delano
Rootbank, Douglas
Roots, Ryu
Roppin, Rin
Roppongi, Akemi
Roppongi, Fumi
Roppongi, Sakura
Roppongi, Tooru
Roppongi, Erica
Roppou, Yabure
Roque Lartigue, Jean
Rora, Nene
Rorec, Chelsea
Roriita
Rorl, Shicca
Roromiya, Karuta
Roromori, Yuzu
Roronoa, Zoro
Rosas, Leon
Rosas, Alfred
Rosas, Miriam
Roscoe, Brian
Rose, Amy
Rose, Maria
Rose, Eva
Rose, Mary
Rose, Coco
Rose, Holly
Rose, Berkeley
Rose, Natalie
Rose, Evelyn
Rose, Ruby
Rose, Ayla
Rose Cooney, Angelle Belle
Rosebank, Mariko
Rosebank, Timothy
Rosebank, Harold
Roseguard, Rosalie
Rosehearts, Riddle
Roselei, Charlotte
Roselia, Blake
Rosemariné, Arion
Rosen, Aisha
Rosen, Ernst
Rosen Katori, Anna
Rosenberg, Phillip
Rosenberg, Douglas
Rosenberg, Sylvia
Rosenberg, Michel
Rosenberg, Ernst
Rosenberg, Kurt
Rosenberg, Lucifer
Rosenberg, Sophia
Rosenblum, Misty
Rosenmeier, Tsugumi
Rosenski, Vincent
Rosenthal, Carl
Rosenthal, Esther
Rosenthal, David
Rosenthal, Isaac 
Rosenthal, Aki
Rosequartz, Amelia
Roses, Shiba
Rosewater, Angel
Rosewater, Alex
Rosewater, Gordon
Roshan, Mina
Roshihara, Kuehiko
Roshuku, Shikei
Rosita, Kiki
Rosita, Baresto
Roskov, Sergey
Ross, Aki
Ross, Maria
Ross, Rebecca
Ross, Natasha
Ross, Minea
Ross, Arthur
Ross, Eddie
Ross, Shannon
Ross, Gilbert
Rossa, Eida
Rossa, Alex
Rossellini, Rebecca
Rossetti, Anessa
Rossi, Marco
Rossi, Anna
Rossi, Antonio
Rossi, Pietro
Rossi, Rita
Rossi, Anzelmo
Rossi, Marchelo
Rossi, Edda
Rossi, Federico
Rossi, Carlos
Rossi, Mimi
Rosskleim, Pamela
Rossmann, Edytha
Rosso, Porco
Rosso, Kamui
Rosso, Chamo
Rossovich, Arkady
Rossweisse, Rita
Rostahm, Huey
Roth, Jack
Rothbart
Rothschild, Ganz
Rothschilt, Angelica
Rothschilt, Christina
Rothstein, Diabel
Rothstein, Meltys
Rothstein, Daliah
Rotten, Mifi
Rotten, Maizou
Rotten, Lance
Rottenmeier
Rottenstein, Isabella Ali
Rou, Ensei
Rou, Cynthia
Rou, Cybele
Rou, Zack
Rou, Xiao
Rouard, Eliza
Rouen, Mitsuhide
Rouga, Nadare
Rouge, Claire
Rouge, Ricoris
Roukakuji, Riru
Roulacase, Finral
Roun, Rimudo
Roun, Efinruka
Rounai, Ikuo
